buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
50.0,1.0,100.0,14.0,1.708855303121788,100,50.0,58.51871347427368
100.0,2.0,100.0,0.0,10.827276387966425,200,100.0,67.75464749336243
150.0,3.0,100.0,14.0,10.206747582576616,300,150.0,77.5520887374878
200.0,4.0,100.0,19.0,10.53148745524348,400,200.0,87.04742550849915
250.0,5.0,100.0,0.0,10.465214168284117,500,250.0,96.60289263725281
300.0,6.0,100.0,0.0,10.86045998819056,600,300.0,105.81060671806335
350.0,7.0,100.0,0.0,10.640689233288372,700,350.0,115.20849466323853
400.0,8.0,100.0,0.0,10.450515375632794,800,400.0,124.77740168571472
450.0,9.0,100.0,0.0,10.475831269019006,900,450.0,134.32318449020386
500.0,10.0,100.0,0.0,10.53480451906841,1000,500.0,143.81553077697754
550.0,11.0,100.0,0.0,10.442614250700382,1100,550.0,153.39167761802673
600.0,12.0,100.0,0.0,10.970931049347904,1200,600.0,162.50667548179626
650.0,13.0,100.0,8.0,10.755147679347616,1300,650.0,171.8045494556427
700.0,14.0,100.0,0.0,10.652200905452721,1400,700.0,181.19228172302246
750.0,15.0,100.0,0.0,10.843397477782082,1500,750.0,190.4144847393036
800.0,16.0,100.0,0.0,10.334887692257729,1600,800.0,200.0904495716095
850.0,17.0,100.0,0.0,10.350504267953307,1700,850.0,209.75181555747986
900.0,18.0,100.0,0.0,10.569808208174143,1800,900.0,219.21272659301758
950.0,19.0,100.0,0.0,10.808619406410145,1900,950.0,228.46460270881653
1000.0,20.0,100.0,0.0,10.657418236224501,2000,1000.0,237.8477394580841
1050.0,21.0,100.0,0.0,2.2686858880353875,2100,1050.0,281.9261212348938
1100.0,22.0,100.0,0.0,8.422077842671447,2200,1100.0,293.79967737197876
1150.0,23.0,100.0,11.0,9.244072392723032,2300,1150.0,304.6174211502075
1200.0,24.0,100.0,0.0,9.223041666215883,2400,1200.0,315.45983242988586
1250.0,25.0,100.0,0.0,9.106593110239132,2500,1250.0,326.4408881664276
1300.0,26.0,100.0,0.0,9.4535383140433,2600,1300.0,337.0189390182495
1350.0,27.0,100.0,0.0,9.764889037785798,2700,1350.0,347.2597119808197
1400.0,28.0,100.0,0.0,9.639450690417556,2800,1400.0,357.6337480545044
1450.0,29.0,100.0,0.0,9.742256100703749,2900,1450.0,367.89831161499023
1500.0,30.0,100.0,0.0,9.782093196161043,3000,1500.0,378.1210734844208
1550.0,31.0,100.0,0.0,9.6474740929812,3100,1550.0,388.4864821434021
1600.0,32.0,100.0,0.0,9.667986141252547,3200,1600.0,398.8298988342285
1650.0,33.0,100.0,0.0,9.58549421730811,3300,1650.0,409.2623300552368
1700.0,34.0,100.0,0.0,9.607077479564108,3400,1700.0,419.6713240146637
1750.0,35.0,100.0,0.0,9.76350132795177,3500,1750.0,429.9135522842407
1800.0,36.0,100.0,0.0,9.802167154893256,3600,1800.0,440.1153795719147
1850.0,37.0,100.0,0.0,9.72402125859174,3700,1850.0,450.3991913795471
1900.0,38.0,100.0,13.0,9.766190956780775,3800,1900.0,460.63859963417053
1950.0,39.0,100.0,0.0,9.601013852178406,3900,1950.0,471.0541670322418
2000.0,40.0,100.0,0.0,9.375168409429753,4000,2000.0,481.7206439971924
2050.0,41.0,100.0,0.0,2.275150245044237,4100,2050.0,525.6737859249115
2100.0,42.0,100.0,13.0,9.663481996019183,4200,2100.0,536.0220239162445
2150.0,43.0,100.0,14.0,9.434167967257128,4300,2150.0,546.6217937469482
2200.0,44.0,100.0,0.0,9.865384425860364,4400,2200.0,556.7582471370697
2250.0,45.0,100.0,15.0,9.69671771631615,4500,2250.0,567.0710163116455
2300.0,46.0,100.0,0.0,9.688942126211062,4600,2300.0,577.3920617103577
2350.0,47.0,100.0,0.0,9.738954338272434,4700,2350.0,587.660106420517
2400.0,48.0,100.0,0.0,9.517423541984884,4800,2400.0,598.1671526432037
2450.0,49.0,100.0,0.0,9.862936517650473,4900,2450.0,608.3061218261719
2500.0,50.0,100.0,0.0,9.619340693132202,5000,2500.0,618.7018458843231
2550.0,51.0,100.0,0.0,9.668167098629226,5100,2550.0,629.0450689792633
